node_id,lat_centro,lon_centro,n_accidentes,n_graves,n_mortales,n_alcohol,sensores_imd_500m,idx_peligrosidad,categoria
PN_0115,40.422901781833204,-3.6802232788361686,76,10,0,4,61,0.2179,CRITICO
PN_0116,40.445963487143516,-3.6568750835664834,77,11,0,2,59,0.2174,CRITICO
PN_0117,40.446220647664894,-3.691881257100602,84,8,0,5,65,0.2171,CRITICO
PN_0118,40.4181748020476,-3.6109316148475394,91,8,0,3,27,0.2163,CRITICO
PN_0119,40.39178858805052,-3.6540444432810566,61,11,0,6,32,0.216,CRITICO
PN_0120,40.39613178369666,-3.6651226847408336,63,10,0,7,55,0.2154,CRITICO
PN_0121,40.460046495853376,-3.696767009475831,75,11,0,2,115,0.2144,CRITICO
PN_0122,40.4367600339761,-3.7217845161713146,92,7,0,4,36,0.2143,CRITICO
PN_0123,40.4299487175682,-3.6649553469933753,72,9,0,6,53,0.214,CRITICO
PN_0124,40.44915190341193,-3.608995776621118,73,10,0,4,41,0.2135,CRITICO
PN_0125,40.3857477585757,-3.7618346084076495,91,4,0,9,39,0.2133,CRITICO
PN_0126,40.40513056102852,-3.7021498303484006,60,12,0,4,58,0.2125,CRITICO
PN_0127,40.41392129696046,-3.7168888621274414,75,10,0,3,52,0.2109,CRITICO
PN_0128,40.373799218364915,-3.7199442814726367,83,8,0,4,28,0.2101,CRITICO
PN_0129,40.4670457819238,-3.6661216315694896,68,11,0,3,52,0.2097,CRITICO
PN_0130,40.42498505486871,-3.680093653173836,76,9,0,4,65,0.2088,CRITICO
PN_0131,40.370908394468564,-3.7200098689849947,87,9,0,1,27,0.2084,CRITICO
PN_0132,40.44204555438855,-3.6827173488279525,65,10,0,5,57,0.2072,CRITICO
PN_0133,40.38898227710244,-3.679931787378592,55,6,1,2,37,0.2061,CRITICO
PN_0134,40.426197042854824,-3.7130945239518356,66,9,0,6,93,0.2052,CRITICO
PN_0135,40.431917924772556,-3.6608703411432946,73,9,0,4,89,0.2044,CRITICO
PN_0136,40.43173229128748,-3.6602387539798253,101,5,0,3,97,0.2038,CRITICO
PN_0137,40.45493871595196,-3.7027592699398375,67,8,0,7,84,0.2031,CRITICO
PN_0138,40.3948365138659,-3.7210160185462806,72,9,0,4,32,0.2029,CRITICO
PN_0139,40.4091863072778,-3.663992537221817,77,10,0,1,70,0.2027,CRITICO
PN_0140,40.408095449893175,-3.6928909868978064,83,9,0,1,58,0.2025,CRITICO
PN_0141,40.36205441119958,-3.7538141629153694,102,4,0,4,42,0.2018,CRITICO
PN_0142,40.39868713417691,-3.6698586474631734,70,11,0,1,55,0.2015,CRITICO
PN_0143,40.414940445842085,-3.6607510656098627,93,6,0,3,56,0.2011,CRITICO
PN_0144,40.39109758993645,-3.695019374046549,97,4,0,5,65,0.1999,CRITICO
PN_0145,40.44020984499724,-3.6801924471184426,76,8,0,4,78,0.1997,CRITICO
PN_0146,40.45998436415514,-3.728996306556577,61,11,0,3,15,0.1993,CRITICO
PN_0147,40.481095933483985,-3.6737999861977024,73,9,0,3,57,0.1989,CRITICO
PN_0148,40.41889060218428,-3.6969877264723903,84,6,0,5,83,0.1989,CRITICO
PN_0149,40.39892877560307,-3.7341535117079103,66,10,0,3,11,0.1976,CRITICO
PN_0150,40.442718452291345,-3.6828874766503024,62,10,0,4,48,0.1973,CRITICO
PN_0151,40.42886747068761,-3.667103879709781,53,12,0,3,45,0.1966,CRITICO
PN_0152,40.48394789584565,-3.6760749593328756,43,13,0,4,58,0.1965,ALTO
PN_0153,40.43510229112498,-3.691222659223086,59,9,0,6,58,0.1949,CRITICO
PN_0154,40.41387400337658,-3.6278891260422075,97,4,0,4,22,0.1944,CRITICO
PN_0155,40.452750408433914,-3.690750617543703,102,5,0,1,82,0.1942,CRITICO
PN_0156,40.48163534946321,-3.6497963677473475,62,10,0,3,13,0.1917,CRITICO
PN_0157,40.44127432515785,-3.678767499980583,68,9,0,3,71,0.1915,CRITICO
PN_0158,40.40103707738357,-3.6939906725648948,64,9,0,4,77,0.1911,CRITICO
PN_0159,40.40694789922252,-3.672915700340945,71,9,0,2,59,0.1903,CRITICO
PN_0160,40.43990397712195,-3.726890382752707,86,7,0,1,14,0.1887,CRITICO
PN_0161,40.48397996935963,-3.6629759072558215,76,8,0,2,32,0.1886,CRITICO
PN_0162,40.39228643909669,-3.7581859583227306,27,8,1,3,26,0.1885,CRITICO
PN_0163,40.37384065741304,-3.73880022665492,68,5,0,9,51,0.1884,CRITICO
PN_0164,40.4303609006583,-3.59730608288283,75,8,0,2,31,0.1872,CRITICO
PN_0165,40.451936048270156,-3.685983622264933,76,6,0,5,53,0.1871,CRITICO
PN_0166,40.388070240429485,-3.699248593075983,81,7,0,2,42,0.1869,CRITICO
PN_0167,40.412302299631314,-3.731982004537587,32,7,1,3,67,0.1868,CRITICO
PN_0168,40.45786055763137,-3.701165307261202,43,10,0,7,81,0.1859,ALTO
PN_0169,40.38804967829009,-3.6997600314851393,71,3,0,11,46,0.1858,CRITICO
PN_0170,40.40885671524581,-3.723819405968905,25,8,1,3,41,0.1856,CRITICO
PN_0171,40.38968789495038,-3.730019426940512,50,10,0,5,64,0.1851,CRITICO
PN_0172,40.360910603733394,-3.69330119723304,55,11,0,2,30,0.1849,CRITICO
PN_0173,40.40695957072605,-3.7118084288689484,61,10,0,2,52,0.1847,CRITICO
PN_0174,40.39013105789181,-3.6790911577183203,83,5,0,4,49,0.1828,CRITICO
PN_0175,40.45972346579368,-3.6901218034905336,82,7,0,1,114,0.1828,CRITICO
PN_0176,40.396861389786466,-3.7031020019857634,57,8,0,6,78,0.1828,CRITICO
PN_0177,40.4058601948386,-3.7071191610111125,41,13,0,2,42,0.1824,ALTO
PN_0178,40.42399102412645,-3.659733246130697,65,6,0,7,56,0.182,CRITICO
PN_0179,40.42907592952852,-3.703061139237889,67,8,0,3,46,0.1809,CRITICO
PN_0180,40.4818440521414,-3.7057822799698528,67,8,0,3,74,0.1809,CRITICO
PN_0181,40.41998072952441,-3.6588819495864557,34,6,1,3,76,0.1807,CRITICO
PN_0182,40.37797535251097,-3.7481649549002163,24,7,1,4,25,0.1806,CRITICO
PN_0183,40.4378667937627,-3.6880313717929014,51,2,1,5,67,0.1805,CRITICO
PN_0184,40.43302391728782,-3.6487958266248826,64,9,0,2,88,0.18,CRITICO
PN_0185,40.46293177414529,-3.697017876442328,58,8,0,5,91,0.1787,CRITICO
PN_0186,40.40889142206203,-3.6477678524806505,33,7,1,1,25,0.1772,CRITICO
PN_0187,40.425007010275664,-3.7073603520072163,39,6,1,1,60,0.177,CRITICO
PN_0188,40.43217122738696,-3.6979616517509575,58,9,0,3,47,0.1767,CRITICO
PN_0189,40.44670816734057,-3.698906185645707,45,5,1,1,75,0.1767,CRITICO
PN_0190,40.43883216613096,-3.708279063303975,64,8,0,3,35,0.1765,CRITICO
PN_0191,40.39508931597044,-3.6798205875920846,65,9,0,1,64,0.1759,CRITICO
PN_0192,40.43077637348578,-3.7000514968424043,48,11,0,2,45,0.1746,ALTO
PN_0193,40.48377455258534,-3.6998623687878207,61,7,0,5,48,0.1741,CRITICO
PN_0194,40.39792658176978,-3.7020666166163263,73,5,0,5,88,0.1736,CRITICO
PN_0195,40.43425546416464,-3.674071784740689,52,9,0,4,77,0.1734,CRITICO
PN_0196,40.39721272621416,-3.7169987663910127,61,5,0,8,82,0.1726,CRITICO
PN_0197,40.47413631629437,-3.6869667749175017,71,7,0,2,54,0.1722,CRITICO
PN_0198,40.43771114349814,-3.6830010647207234,72,5,0,5,89,0.1721,CRITICO
PN_0199,40.419181379718644,-3.697874730305524,33,4,1,5,81,0.1721,CRITICO
PN_0200,40.42095694723333,-3.7069886857574197,77,6,0,2,52,0.1719,CRITICO
PN_0201,40.45902420979996,-3.6891501342302893,68,5,0,6,119,0.1718,CRITICO
PN_0202,40.42877831978563,-3.7010339094741154,47,9,0,5,42,0.1716,ALTO
PN_0203,40.42114085581528,-3.6112332076420497,41,2,1,6,47,0.1713,CRITICO
PN_0204,40.4202394681087,-3.7058897783531783,66,4,0,8,54,0.1708,CRITICO
PN_0205,40.429836411698595,-3.596222678381197,96,4,0,0,23,0.1707,CRITICO
PN_0206,40.446343702491,-3.6958323266776896,43,12,0,1,79,0.1707,ALTO
PN_0207,40.38511953882358,-3.7118777130229232,47,5,0,11,44,0.1686,ALTO
PN_0208,40.409234948512704,-3.741814989511986,68,4,0,7,31,0.1682,CRITICO
PN_0209,40.424063188903425,-3.6688047858035464,73,5,0,4,42,0.168,CRITICO
